Title,URL,Total Members,Posts Today,Posts Last Month,DAU/MAU,Scaled Members,Scaled DAU/MAU,Metric
"Shyama Prasad Mukherji College, University of Delhi",https://www.facebook.com/groups/1453094768257367/about,708,0,0,,0.007726727054458147,,
"S.G.T.B. Khalsa College, Delhi University",https://www.facebook.com/groups/sgtbk/about,10818,0,0,,0.1180617701626105,,
Tula's Institute the engineering and management college,https://www.facebook.com/groups/393788637355816/about,238,0,0,,0.0025974025974025974,,
NIT Uttarakhand Information Portal,https://www.facebook.com/groups/681413378615585/about,876,0,0,,0.009560187711448216,,
"S.G.T.B. Khalsa College, Delhi University",https://www.facebook.com/groups/sgtbk/about/about,10818,"k







 Find","book







 Find",,0.1180617701626105,,
College Of Engineering Roorkee (COER),https://www.facebook.com/groups/159238784092259/about,4812,0,0,,0.052515551675215544,,
"Ramanujan College, kalkaji, New Delhi",https://www.facebook.com/groups/ramanujan.du/about,1185,0,0,,0.012932445705554949,,
LitSoc @ IIIT-Delhi,https://www.facebook.com/groups/LitSoc.IIITD/about,409,0,0,,0.004463603623267489,,
DOMS IIT Roorkee,https://www.facebook.com/groups/doms.iitr/about,869,0,0,,0.009483793517406964,,
ShARE OPEN IIT Roorkee,https://www.facebook.com/groups/1843046282586976/about,1178,0,0,,0.012856051511513696,,
Content not found,https://www.facebook.com/groups/edlsiitmandi/about,0,,,,0.0,,
Cultural Society Updates DCE (DTU),https://www.facebook.com/groups/220496004664898/about,2103,0,0,,0.022950998581250683,,
INNOVA DTU,https://www.facebook.com/groups/502660773079623/about,3034,0,0,,0.03311142638873731,,
"Sarasva,Literary Society , IIIT Allahabad Batch 2k18",https://www.facebook.com/groups/192293011641790/about,88,0,0,,0.0009603841536614646,,
Dramatics @ IIIT Allahabad,https://www.facebook.com/groups/155213764606014/about,459,0,0,,0.0050092764378478665,,
IBC- The Literary-cum-Management Society of MANIT Bhopal,https://www.facebook.com/groups/240462849304821/about,2455,0,0,,0.02679253519589654,,
Content not found,https://www.facebook.com/groups/1402272670092457/about,0,,,,0.0,,
College Of Engineering Roorkee (COER),https://www.facebook.com/groups/159238784092259/about,4812,0,0,,0.052515551675215544,,
JAMIA MILIA ISLAMIA,https://www.facebook.com/groups/165220510338972about,833,"




JAMIA","







JAMIA",,0.00909090909090909,,
